Time,Type,X,Y,Z,Latitude,Longitude
1753796015011,Accelerometer,-3.7890346,7.984849,3.2075787,,
1753796015018,Gyroscope,-0.53068876,-2.369697,-0.35475972,,
1753796015022,Accelerometer,-3.5102708,7.668997,4.930411,,
1753796015031,Gyroscope,-0.735023,-2.7823362,-0.3346012,,
1753796015041,Accelerometer,-1.544567,6.6711893,5.389833,,
1753796015051,Gyroscope,-0.95218545,-3.1476336,-0.41706792,,
1753796015061,Accelerometer,0.34456646,8.46102,8.047063,,
1753796015070,Gyroscope,-1.0575596,-1.9646939,-0.9149227,,
1753796015080,Accelerometer,0.046660043,9.930214,10.152746,,
1753796015088,Gyroscope,-1.0056361,-1.5380048,-1.2542582,,
1753796015099,Accelerometer,-0.32542387,7.2849483,6.6628146,,
1753796015108,Gyroscope,-1.1772891,-1.198364,-1.2826633,,
1753796015119,Accelerometer,-0.9882358,5.3336015,6.094519,,
1753796015128,Gyroscope,-1.2292126,-0.6317869,-1.3064871,,
1753796015139,Accelerometer,-1.6917256,4.892126,5.029713,,
1753796015147,Gyroscope,-1.4411827,-0.3990474,-0.961043,,
1753796015158,Accelerometer,-1.9393828,4.3932223,4.2687955,,
1753796015167,Gyroscope,-1.7340924,-0.51327914,-0.4561633,,
1753796015176,Accelerometer,-2.1260228,4.9256253,3.4241292,,
1753796015186,Gyroscope,-1.9460624,-1.3712387,-0.32574365,,
1753796015196,Accelerometer,-1.2059826,6.259624,4.476971,,
1753796015205,Gyroscope,-1.9955425,-1.8348851,-0.735023,,
1753796015214,Accelerometer,-1.3280165,5.3012986,6.4821568,,
1753796015224,Gyroscope,-1.8819216,-1.2411245,-1.2136356,,
1753796015234,Accelerometer,-1.9465612,4.3070807,7.0085773,,
1753796015243,Gyroscope,-1.6803362,-0.8553634,-1.6293291,,
1753796015253,Accelerometer,-1.3615161,5.1457653,8.067402,,
1753796015263,Gyroscope,-1.3513856,-1.0325142,-1.9121594,,
1753796015273,Accelerometer,-0.07298109,5.087141,10.655239,,
1753796015283,Gyroscope,-0.8306234,-0.9976949,-1.4796672,,
1753796015292,Accelerometer,-2.8354948,3.7531424,12.707085,,
1753796015301,Gyroscope,-0.25427246,-0.6363684,-0.4592176,,
1753796015311,Accelerometer,-7.4380894,3.8009987,10.47817,,
1753796015320,Gyroscope,0.15500695,-0.9552398,0.66141385,,
1753796015330,Accelerometer,-5.812166,3.4947174,7.9130645,,
1753796015340,Gyroscope,0.6397281,-1.9191844,1.4726423,,
1753796015350,Accelerometer,1.1557333,5.4113684,9.8428755,,
1753796015359,Gyroscope,1.1449133,-2.059378,1.1812598,,
1753796015369,Accelerometer,0.2620141,6.026324,8.787642,,
1753796015379,Gyroscope,0.96928966,-2.0941973,0.60002196,,
1753796015388,Accelerometer,-0.70229346,5.319245,6.259624,,
1753796015399,Gyroscope,0.5071705,-2.5288274,0.43997535,,
1753796015408,Accelerometer,0.66759753,5.2570314,6.6424756,,
1753796015418,Gyroscope,0.19165882,-2.9478807,0.4405862,,
1753796015422,Location,,,,50.38692857,30.45877463
1753796015428,Accelerometer,1.3890336,6.1854467,10.273584,,
1753796015436,Gyroscope,0.33887723,-2.4659083,0.4827359,,
1753796015446,Accelerometer,1.6965113,5.3180485,11.326426,,
1753796015455,Gyroscope,0.3901899,-1.4109449,0.30802858,,
1753796015465,Accelerometer,2.3306093,5.322834,10.126426,,
1753796015475,Gyroscope,0.0386372,-0.6369792,0.2423606,,
1753796015484,Accelerometer,1.7575282,5.832505,8.329415,,
1753796015494,Gyroscope,-0.3205513,-0.6327032,0.33337945,,
1753796015504,Accelerometer,1.9357935,5.483153,8.161918,,
1753796015513,Gyroscope,-0.45891216,-0.6867647,0.4668534,,
1753796015523,Accelerometer,3.9146578,6.2787666,9.9960165,,
1753796015534,Gyroscope,-0.31199917,-0.22739442,0.36361727,,
1753796015543,Accelerometer,5.0141597,7.29452,11.089537,,
1753796015552,Gyroscope,0.091782436,0.4045452,0.06429352,,
1753796015562,Accelerometer,1.3100704,6.378069,9.217153,,
1753796015571,Gyroscope,0.35048366,0.3581195,0.21578798,,
1753796015581,Accelerometer,0.041874398,4.523631,8.611769,,
1753796015590,Gyroscope,0.6528617,0.04535671,0.5196932,,
1753796015601,Accelerometer,2.225325,5.564509,9.174082,,
1753796015610,Gyroscope,1.0826051,-0.07956514,0.49250972,,
1753796015620,Accelerometer,3.1657043,7.2155566,9.274581,,
1753796015629,Gyroscope,1.3519964,0.23838998,0.21395539,,
1753796015639,Accelerometer,1.2849457,5.9318075,8.671589,,
1753796015648,Gyroscope,1.3413063,0.5352703,0.33032513,,
1753796015661,Accelerometer,1.2969099,5.907879,7.1007013,,
1753796015668,Gyroscope,1.00136,0.45341438,0.3327686,,
1753796015679,Accelerometer,2.32702,7.411768,6.3924255,,
1753796015686,Gyroscope,0.41859508,0.48365217,-0.07345649,,
1753796015697,Accelerometer,1.989632,6.829116,6.256035,,
1753796015706,Gyroscope,0.027947064,0.2591594,-0.35475972,,
1753796015716,Accelerometer,1.6271194,6.735796,5.2426744,,
1753796015725,Gyroscope,-0.06704241,-0.5196932,-0.4647154,,
1753796015736,Accelerometer,1.6103697,7.355537,6.7022963,,
1753796015744,Gyroscope,-0.1565341,-0.5884155,-0.7029526,,
1753796015754,Accelerometer,1.9106688,7.436893,6.745367,,
1753796015764,Gyroscope,-0.42195484,-0.0059559317,-1.1824815,,
1753796015774,Accelerometer,2.0063818,6.884151,7.739585,,
1753796015783,Gyroscope,-0.6330086,0.9033163,-1.525482,,
1753796015793,Accelerometer,0.6855437,5.453243,7.1856465,,
1753796015802,Gyroscope,-0.83612114,1.9488114,-1.4619521,,
1753796015812,Accelerometer,-0.45224348,3.2769706,8.400003,,
1753796015822,Gyroscope,-0.8147409,3.1949756,-1.0352631,,
1753796015832,Accelerometer,-1.5756737,2.9647074,8.190632,,
1753796015841,Gyroscope,-0.6663008,3.8012588,0.024281874,,
1753796015850,Accelerometer,-1.7970098,3.0293136,6.957132,,
1753796015862,Gyroscope,-0.6357575,4.2737627,0.8816306,,
1753796015870,Accelerometer,0.21415763,3.2362926,4.784449,,
1753796015879,Gyroscope,-0.8315397,4.004066,1.1308634,,
1753796015889,Accelerometer,0.37208393,2.556731,1.8376877,,
1753796015900,Gyroscope,-1.4769183,2.3318236,1.130558,,
1753796015908,Accelerometer,0.2883351,4.0869412,0.3290131,,
1753796015919,Gyroscope,-2.7310238,0.70967215,0.88926643,,
1753796015927,Accelerometer,-1.4883357,3.839284,2.5734808,,
1753796015939,Gyroscope,-3.149466,-0.92378026,0.77167493,,
1753796015948,Accelerometer,-2.0697916,3.1310084,6.778867,,
1753796015957,Gyroscope,-2.8037167,-1.2389865,0.9656245,,
1753796015967,Accelerometer,-1.410569,3.5030923,12.162718,,
1753796015976,Gyroscope,-2.3131921,0.31719154,1.35444,,
1753796015986,Accelerometer,2.5268207,4.0031924,13.942978,,
1753796015995,Gyroscope,-1.8648175,1.2701406,1.0621412,,
1753796016004,Accelerometer,4.2963133,2.5495524,14.723038,,
1753796016014,Gyroscope,-1.1504111,2.202015,0.672104,,
1753796016025,Accelerometer,1.7910278,5.2366924,12.735799,,
1753796016033,Gyroscope,-1.0954332,3.448179,-0.016035201,,
1753796016044,Accelerometer,-0.0047856453,8.05783,7.7551384,,
1753796016054,Gyroscope,-1.652542,3.760331,-0.7698423,,
1753796016062,Accelerometer,-0.07776674,3.5413775,7.7383885,,
1753796016072,Gyroscope,-1.7649411,2.9341362,-1.2698351,,
1753796016082,Accelerometer,-4.2125645,1.6905292,12.960724,,
1753796016091,Gyroscope,-1.8238895,3.9603891,-1.4359903,,
1753796016101,Accelerometer,-9.335598,1.9992033,11.96531,,
1753796016111,Gyroscope,-2.3021967,5.222436,-0.77534014,,
1753796016120,Accelerometer,-8.913264,0.05503492,8.38804,,
1753796016129,Gyroscope,-2.5804455,4.9582367,-0.04657844,,
1753796016139,Accelerometer,-6.350551,-1.125823,7.7946196,,
1753796016149,Gyroscope,-2.2230897,3.787209,-0.3101666,,
1753796016160,Accelerometer,-11.027323,-0.3062813,11.411371,,
1753796016168,Gyroscope,-1.4350741,3.57249,-0.016340632,,
1753796016179,Accelerometer,-12.470195,-1.375873,8.068598,,
1753796016187,Gyroscope,-1.4185808,3.4350455,0.6375901,,
1753796016199,Accelerometer,-9.961321,-0.9272188,6.070591,,
1753796016207,Gyroscope,-1.5123485,3.140914,0.7958041,,
1753796016217,Accelerometer,-8.019546,0.86261255,4.430311,,
1753796016226,Gyroscope,-1.4109449,1.5218168,0.57589275,,
1753796016236,Accelerometer,-5.663811,0.80997044,-3.0197423,,
1753796016245,Gyroscope,-1.0147991,-2.3892448,0.30527967,,
1753796016255,Accelerometer,-9.044869,-1.0001999,0.57427746,,
1753796016265,Gyroscope,-1.4570652,-3.3925903,1.0169371,,
1753796016274,Accelerometer,-6.2033925,-0.71665037,5.5250273,,
1753796016284,Gyroscope,-1.4940225,-2.9726207,1.2221878,,
1753796016297,Accelerometer,-0.57188463,2.7948167,6.835098,,
1753796016305,Gyroscope,-0.9647082,-3.5248425,0.5523745,,
1753796016321,Accelerometer,-0.51445687,3.056831,6.1040907,,
1753796016327,Gyroscope,-0.36147922,-5.0153527,0.29825473,,
1753796016332,Accelerometer,-2.4670002,1.6522441,5.4628143,,
1753796016360,Gyroscope,0.010231985,-6.6252866,0.6528617,,
1753796016360,Accelerometer,-3.9649072,0.09332009,7.9274216,,
1753796016361,Gyroscope,-0.5093085,-5.947532,1.1675153,,
1753796016371,Accelerometer,-3.8297126,1.1916257,6.818348,,
1753796016380,Gyroscope,-1.6598723,-4.351037,1.5322015,,
1753796016390,Accelerometer,1.7611175,1.5218352,6.5108705,,
1753796016399,Gyroscope,-3.0416484,-2.640921,0.7231112,,
1753796016409,Accelerometer,3.2793634,3.5449667,10.920842,,
1753796016419,Gyroscope,-3.3275332,-1.4387393,-0.4754055,,
1753796016423,Location,,,,50.38687069,30.45866784
1753796016431,Accelerometer,-1.707279,1.9824536,18.181864,,
1753796016440,Gyroscope,-1.7756312,-1.0328196,-0.58322316,,
1753796016448,Accelerometer,-5.7583275,-0.34097722,16.291533,,
1753796016458,Gyroscope,-0.51511174,-0.8767437,0.18799363,,
1753796016467,Accelerometer,-3.879962,-1.1365907,10.540383,,
1753796016476,Gyroscope,-0.30130905,-0.45860672,1.0425935,,
