seg_id,s_start,s_end,iri_multi,grms,mean_speed_kmh,valid_ratio,anomaly_count,legacy_rmsa_mean,legacy_samples_count,rank_new_iri_multi,rank_legacy_rmsa
-1,-4.080037583723336,-0.1191251849250909,9.052093140260824,0.1440221389989051,25.085014902734727,1.0,0,,,1.0,
0,0.0694896912081588,99.87806579965373,7.673866950411015,0.1283132708869034,34.88094734363276,1.0,0,0.499819328769428,11.0,3.0,37.0
1,100.07700988693163,199.9735813403855,4.953561926028058,0.0776923244402313,37.76526399673976,1.0,0,0.42254345177032887,9.0,40.0,59.0
2,200.15654535593455,299.89796355058525,4.978284820432348,0.0619279119657782,24.132128494760185,1.0,0,0.4770801910579709,15.0,38.0,42.0
3,300.05626686860097,399.9564156065792,3.18827370659822,0.0399860172581701,35.5637113638817,1.0,0,0.2798655161178737,10.0,93.0,105.0
4,400.1607788483684,499.8864284353487,5.292757879243073,0.0863613501021861,39.38242096498222,1.0,0,0.45629107195541707,10.0,29.0,51.0
5,500.0928559828694,599.9258399489588,3.6438042257077976,0.0140988264540333,6.260812024319362,1.0,0,0.07944836828577323,57.0,75.0,151.0
6,600.0013487521395,699.7918129140261,3.970256714953777,0.0505987385813429,31.431196840990008,1.0,0,0.31866687592115617,11.0,60.0,91.0
7,700.0203525070749,799.848778252844,5.798326324351104,0.1063910800392866,47.7545470537633,1.0,0,0.6566953868042154,8.0,19.0,6.0
8,800.1081035111692,899.9191000838944,6.35310554177239,0.1179547904146507,48.20632519821388,1.0,0,0.6178451766209584,7.0,11.0,11.0
9,900.1805099170608,999.9329642667028,5.589115044673891,0.102543074105782,48.01420740548437,1.0,0,0.588555070899458,8.0,23.0,21.0
10,1000.1922592374978,1099.853586769172,5.638759389568713,0.1071261902729741,51.03050841612246,1.0,0,0.5947046086595943,7.0,22.0,19.0
11,1100.1232599437394,1199.9504508226398,6.116951024582972,0.1044085580364518,40.78146026352139,1.0,0,0.6148299349466243,9.0,13.0,15.0
12,1200.0810668730385,1299.9357625119717,4.351029506093529,0.0339481254923585,11.120669478032497,1.0,0,0.1869502285920648,32.0,52.0,134.0
13,1300.174556796988,1399.9584195749112,2.206216269357597,0.0413536736671654,53.07834315956948,1.0,0,0.30798388409189964,7.0,124.0,96.0
14,1400.2617886612054,1499.939668558802,3.919603258523949,0.0712262588593243,49.57503478795423,1.0,0,0.38137032950077454,7.0,63.0,68.0
15,1500.1605189166903,1599.9065696141404,3.893647139502532,0.0182035583913979,5.539265312543503,1.0,0,0.09995517606090647,65.0,66.0,150.0
16,1600.044608612888,1699.7614695549742,1.91712205905075,0.0223435949796822,41.9534606721143,1.0,0,0.20118940196165486,9.0,133.0,130.0
17,1700.0840979221714,1799.9771044739969,1.5692643686457195,0.0357045637287586,58.95648796975692,1.0,0,0.23876654851043808,6.0,143.0,123.0
18,1800.2158361579468,1899.909759442186,3.172659462914849,0.0123427615421909,12.640471631469978,1.0,0,0.12217821409909944,28.0,95.0,146.0
19,1900.055363225256,1999.8398505344028,2.0098803657844027,0.0295725138462194,46.4701421826227,1.0,0,0.20243618228789556,8.0,128.0,129.0
20,2000.154580773566,2099.6415500242624,1.7110055873303276,0.0484389624940145,67.27405008947468,1.0,0,0.3451859668989879,6.0,137.0,82.0
21,2100.014742189817,2199.7799700762503,1.2881465937349823,0.0426970468692263,69.50614674540812,1.0,0,0.24765315149333778,5.0,150.0,120.0
22,2200.1360348339585,2299.706653506076,1.3507666602745942,0.0402774921428548,66.4332790725643,1.0,0,0.232076755469883,5.0,147.0,126.0
23,2300.0543685500948,2399.712043310533,1.968125212686373,0.052600675133575,66.47901266725202,1.0,0,0.3304008163193029,6.0,130.0,87.0
24,2400.0645062484587,2499.99465555122,1.5728997560286144,0.0449793790824222,66.67437665664784,1.0,0,0.279716054851035,5.0,142.0,106.0
25,2500.3526595161447,2599.784523650169,2.152541654853652,0.0589784432838542,68.7542268531649,1.0,0,0.3757984306994035,5.0,125.0,70.0
26,2600.1400438378064,2699.9713710863543,5.046134781301546,0.1049303503903231,59.06600750565859,1.0,0,0.616153205404326,6.0,34.0,12.0
27,2700.189898785175,2799.838918958508,3.7406948589297366,0.016349647290983,6.533656545875471,1.0,0,0.10958455994080687,55.0,71.0,148.0
