# schema=2
# units: accel=m/s^2 (includes gravity), gyro=rad/s, latlon=deg WGS84, time=ms epoch anchored monotonic
# anchor: elapsedRealtimeNanos=116423195500635, currentTimeMillis=1787220487462
# device: samsung SM-S948B, android=16
# device_id=retrofit-sm-s948b-01
# nominal_rate_hz=100
# app_version=1.0
# battery_start_pct=91
# vehicle_id=95de9ea6-9c9f-4369-8b8f-bf542fa53f8d
# vehicle_type=van
# vehicle_make_model=Ford Transit
# vehicle_year=2011
# vehicle_suspension_type=torsion_beam
# vehicle_suspension_condition=worn
# vehicle_tire_size=215/75R16
# vehicle_tire_type=summer
# vehicle_load=half_load
# vehicle_mount=console
# vehicle_mount_rigid=true
# retrofit=v3.1-identity 2026-09-19 scripts/retrofit_v31.py
Time,Type,X,Y,Z,Latitude,Longitude
# event: t=1787220487474, type=accuracy_changed, sensor=gyro, accuracy=3
1787220487467,Gyroscope,-0.092546016,-0.16890411,0.0048869182,,
# event: t=1787220487474, type=accuracy_changed, sensor=accel, accuracy=3
1787220487467,Accelerometer,0.20338993,-0.20817557,10.41835,,
1787220487475,Gyroscope,0.003970621,-0.04703659,-0.0030543238,,
1787220487476,Accelerometer,0.6029913,-0.2416751,10.533205,,
1787220487484,Gyroscope,0.097432934,0.07574723,-0.007941242,,
1787220487484,Accelerometer,0.47377887,-0.05742774,10.392029,,
1787220487492,Gyroscope,0.14630212,0.14477496,-0.0018325944,,
1787220487493,Accelerometer,0.3062813,-0.016749758,10.124033,,
1787220487501,Gyroscope,0.11575887,0.11117739,-0.010995566,,
1787220487501,Accelerometer,-0.06460621,-0.05742774,9.188439,,
1787220487509,Gyroscope,0.02046397,-0.0042760535,-0.0,,
1787220487510,Accelerometer,0.2727818,-0.03589234,9.162118,,
1787220487518,Accelerometer,0.37088752,0.04546363,9.564112,,
1787220487518,Gyroscope,-0.07116575,-0.11728604,-6.108648E-4,,
1787220487526,Gyroscope,-0.09498947,-0.13377939,0.008552107,,
1787220487527,Accelerometer,0.3469593,-0.062213387,10.49492,,
1787220487535,Gyroscope,-0.037568185,-0.068416856,-6.108648E-4,,
1787220487535,Accelerometer,0.1794617,-0.16510476,10.3681,,
1787220487543,Gyroscope,0.04367683,0.023212861,-0.0,,
1787220487544,Accelerometer,0.43788654,-0.21296121,10.301102,,
1787220487552,Gyroscope,0.091324285,0.08124501,-0.009162972,,
1787220487552,Accelerometer,0.4953143,-0.04546363,9.887143,,
1787220487560,Gyroscope,0.083993904,0.077579826,0.0018325944,,
1787220487561,Accelerometer,0.2943172,0.040677983,9.923036,,
1787220487569,Gyroscope,0.03695732,0.021380268,-0.0042760535,,
1787220487569,Accelerometer,0.0023928226,-0.016749758,9.442079,,
1787220487577,Gyroscope,-0.024129158,-0.040317077,0.0036651888,,
1787220487578,Accelerometer,0.24885355,-0.09571291,9.595219,,
1787220487586,Gyroscope,-0.059559315,-0.08124501,-0.0012217296,,
1787220487586,Accelerometer,0.52163535,-0.038285162,9.8321085,,
1787220487594,Gyroscope,-0.051618073,-0.06169734,0.0067195124,,
1787220487595,Accelerometer,0.39720857,-0.05742774,10.47817,,
1787220487603,Gyroscope,0.004581486,-0.007941242,-0.0018325944,,
1787220487603,Accelerometer,0.21774685,-0.11246266,10.2723875,,
1787220487611,Gyroscope,0.05222894,0.051923506,-0.0024434591,,
1787220487612,Accelerometer,0.26799613,-0.18185452,10.052248,,
1787220487620,Gyroscope,0.05894845,0.06169734,-0.0061086477,,
1787220487620,Accelerometer,0.5599205,-0.0071784677,9.616755,,
1787220487628,Gyroscope,0.019853106,0.032375835,0.0024434591,,
1787220487629,Accelerometer,0.2632105,0.038285162,9.896714,,
1787220487637,Gyroscope,-0.016798781,-0.020158539,-0.0,,
1787220487638,Accelerometer,0.13878371,-0.04546363,9.760324,,
1787220487645,Gyroscope,-0.041233372,-0.04214967,0.0030543238,,
1787220487646,Accelerometer,0.17706887,-0.14596218,9.8727865,,
1787220487654,Gyroscope,-0.03940078,-0.043371398,-0.0018325944,,
1787220487655,Accelerometer,0.62931234,-0.062213387,9.939785,,
1787220487662,Gyroscope,-0.022907428,-0.010384701,0.0024434591,,
1787220487663,Accelerometer,0.37328035,-0.06460621,10.365707,,
1787220487671,Gyroscope,0.011300999,0.02443459,-0.0,,
1787220487672,Accelerometer,0.29910284,-0.08135597,10.135997,,
1787220487679,Gyroscope,0.027183482,0.050090913,-0.0024434591,,
1787220487680,Accelerometer,0.09092726,-0.18185452,9.889536,,
1787220487688,Gyroscope,0.014966187,0.031154104,-0.0030543238,,
1787220487689,Accelerometer,0.5312066,-0.04546363,9.521041,,
1787220487697,Accelerometer,0.28953153,-0.009571291,9.915857,,
1787220487696,Gyroscope,-0.024129158,-0.0024434591,0.0012217296,,
1787220487705,Gyroscope,-0.041844238,-0.028099779,0.0024434591,,
1787220487706,Accelerometer,0.30388847,-0.05503492,10.066605,,
1787220487713,Gyroscope,-0.03695732,-0.020769402,6.108648E-4,,
1787220487714,Accelerometer,0.12921242,-0.1698904,9.968499,,
1787220487722,Gyroscope,-0.016798781,0.0030543238,-0.0,,
1787220487723,Accelerometer,0.55752766,-0.148355,9.9038925,,
1787220487730,Gyroscope,-0.00763581,0.026267186,-0.0012217296,,
1787220487731,Accelerometer,0.37328035,-0.040677983,9.970892,,
1787220487739,Gyroscope,-0.004581486,0.034819294,0.0024434591,,
1787220487740,Accelerometer,0.33738798,-0.023928227,10.155139,,
1787220487747,Gyroscope,-0.00763581,0.028099779,-0.0024434591,,
1787220487748,Accelerometer,0.016749758,-0.14596218,9.722038,,
1787220487757,Accelerometer,0.4354937,-0.14356937,9.710074,,
1787220487756,Gyroscope,-0.024129158,0.0042760535,0.0012217296,,
1787220487764,Gyroscope,-0.04734202,-0.018936807,-0.0012217296,,
1787220487765,Accelerometer,0.38285163,-0.06699903,9.812965,,
1787220487774,Accelerometer,0.39481574,-0.05742774,10.339387,,
1787220487773,Gyroscope,-0.046731155,-0.017104214,0.0061086477,,
1787220487781,Gyroscope,-0.022296565,0.007941242,-0.0030543238,,
1787220487782,Accelerometer,0.08853444,-0.16510476,9.942178,,
1787220487790,Gyroscope,-0.003970621,0.034819294,0.0012217296,,
1787220487791,Accelerometer,0.3924229,-0.18185452,9.920643,,
1787220487798,Gyroscope,-0.004581486,0.036651887,-0.005497783,,
1787220487799,Accelerometer,0.4139583,-0.062213387,9.698111,,
1787220487807,Gyroscope,-0.016798781,0.018325943,0.0061086477,,
1787220487808,Accelerometer,0.27517462,-0.031106694,10.1288185,,
1787220487816,Accelerometer,0.031106694,-0.1268196,9.779466,,
1787220487815,Gyroscope,-0.024129158,-6.108648E-4,-0.0024434591,,
1787220487824,Gyroscope,-0.030237807,6.108648E-4,0.0024434591,,
1787220487825,Accelerometer,0.27517462,-0.1794617,9.889536,,
1787220487832,Gyroscope,-0.032681264,-0.0030543238,-0.0036651888,,
1787220487833,Accelerometer,0.5024927,-0.086141616,9.769895,,
1787220487842,Accelerometer,0.32303107,-0.05742774,10.27478,,
1787220487841,Gyroscope,-0.027183482,-0.0024434591,0.0061086477,,
1787220487850,Accelerometer,0.09571291,-0.13399807,9.920643,,
1787220487850,Gyroscope,-0.010079269,0.010384701,-0.0018325944,,
1787220487858,Gyroscope,-9.162972E-4,0.03176497,0.0012217296,,
1787220487859,Accelerometer,0.2105684,-0.18424734,9.877572,,
1787220487867,Gyroscope,-0.00763581,0.023823727,-0.0030543238,,
1787220487867,Accelerometer,0.49052864,-0.04546363,9.688539,,
1787220487875,Gyroscope,-0.026572619,0.0024434591,0.0036651888,,
1787220487876,Accelerometer,0.2727818,-0.047856454,10.095319,,
1787220487884,Gyroscope,-0.027794348,-0.011606431,6.108648E-4,,
1787220487884,Accelerometer,0.13878371,-0.11964113,10.009177,,
1787220487892,Gyroscope,-0.01924224,0.0042760535,6.108648E-4,,
1787220487893,Accelerometer,0.16749759,-0.19621146,9.868001,,
1787220487901,Gyroscope,-0.010690134,0.017104214,-0.0018325944,,
1787220487901,Accelerometer,0.53599226,-0.09571291,9.882358,,
1787220487909,Gyroscope,-0.009468404,0.018936807,0.0012217296,,
1787220487910,Accelerometer,0.31585258,-0.047856454,10.102497,,
1787220487918,Gyroscope,-0.0027488915,0.01527162,0.0012217296,,
1787220487918,Accelerometer,0.16271193,-0.11964113,10.068997,,
1787220487926,Gyroscope,9.162972E-4,0.020158539,-0.0018325944,,
1787220487927,Accelerometer,0.08135597,-0.19621146,9.667004,,
1787220487935,Gyroscope,-0.008857539,0.0140498895,-0.0,,
1787220487935,Accelerometer,0.47138608,-0.086141616,9.84168,,
1787220487943,Gyroscope,-0.022296565,6.108648E-4,-6.108648E-4,,
1787220487944,Accelerometer,0.2847459,-0.06460621,9.946963,,
1787220487952,Gyroscope,-0.021074835,-0.008552107,0.0030543238,,
1787220487952,Accelerometer,0.2009971,-0.08853444,10.183853,,
1787220487960,Gyroscope,-0.010690134,0.0024434591,-0.0018325944,,
1787220487961,Accelerometer,0.078963146,-0.19621146,9.815358,,
1787220487969,Gyroscope,-0.003970621,0.017104214,-0.0,,
1787220487969,Accelerometer,0.44506502,-0.14596218,9.913465,,
1787220487977,Gyroscope,-0.00763581,0.0140498895,-0.0012217296,,
1787220487978,Accelerometer,0.33260235,-0.059820566,9.944571,,
1787220487986,Gyroscope,-0.008246674,0.007941242,0.0036651888,,
1787220487986,Accelerometer,0.20817557,-0.06699903,10.210175,,
1787220487994,Gyroscope,3.054324E-4,0.009162972,-0.0024434591,,
1787220487995,Accelerometer,0.062213387,-0.2009971,9.726824,,
1787220488003,Gyroscope,-0.0033597562,0.01282816,6.108648E-4,,
1787220488003,Accelerometer,0.37328035,-0.16271193,9.817751,,
1787220488011,Gyroscope,-0.014966187,-0.0018325944,-0.0030543238,,
1787220488012,Accelerometer,0.37088752,-0.08853444,9.80818,,
1787220488020,Gyroscope,-0.022296565,-0.010995566,0.0048869182,,
1787220488020,Accelerometer,0.2656033,-0.040677983,10.243673,,
1787220488028,Gyroscope,-0.008246674,-0.0030543238,-0.0030543238,,
1787220488029,Accelerometer,0.059820566,-0.18664017,9.896714,,
1787220488037,Gyroscope,0.004581486,0.018325943,6.108648E-4,,
1787220488038,Accelerometer,0.33499518,-0.2105684,9.870394,,
1787220488045,Gyroscope,0.0015271619,0.015882485,-0.0048869182,,
1787220488046,Accelerometer,0.44027936,-0.11246266,9.815358,,
1787220488054,Gyroscope,-0.0070249448,0.0048869182,0.0030543238,,
1787220488055,Accelerometer,0.27517462,-0.023928227,10.164711,,
1787220488062,Gyroscope,-0.0058032153,-0.0012217296,-0.0030543238,,
1787220488063,Accelerometer,0.0526421,-0.15792629,9.817751,,
1787220488071,Gyroscope,-0.0070249448,0.010384701,0.0012217296,,
1787220488072,Accelerometer,0.25603202,-0.18903299,9.839287,,
1787220488079,Gyroscope,-0.010079269,0.0061086477,-0.0042760535,,
1787220488080,Accelerometer,0.46899325,-0.11724831,9.817751,,
1787220488088,Gyroscope,-0.016187917,0.0012217296,0.0036651888,,
1787220488089,Accelerometer,0.2727818,-0.059820566,10.21496,,
1787220488096,Gyroscope,-0.0027488915,-0.0018325944,-0.0018325944,,
1787220488097,Accelerometer,0.05742774,-0.16031912,9.882358,,
1787220488105,Gyroscope,0.0033597562,0.012217295,6.108648E-4,,
1787220488106,Accelerometer,0.18903299,-0.19381863,9.875179,,
1787220488113,Gyroscope,-3.054324E-4,0.0030543238,-0.0030543238,,
1787220488114,Accelerometer,0.5288138,-0.13399807,9.722038,,
1787220488122,Gyroscope,-0.010690134,-0.0030543238,0.0030543238,,
1787220488123,Accelerometer,0.28713873,-0.047856454,10.126426,,
1787220488130,Gyroscope,-0.0070249448,-0.008552107,-0.0012217296,,
1787220488131,Accelerometer,0.11724831,-0.14117654,9.939785,,
1787220488139,Gyroscope,-0.0051923506,0.0048869182,-0.0,,
1787220488140,Accelerometer,0.1363909,-0.16749759,9.810573,,
1787220488147,Gyroscope,-0.00641408,0.0012217296,-0.0012217296,,
1787220488148,Accelerometer,0.5599205,-0.124426775,9.796216,,
1787220488156,Gyroscope,-0.016798781,-0.0024434591,0.0018325944,,
1787220488157,Accelerometer,0.27517462,-0.06699903,10.147961,,
1787220488164,Gyroscope,-0.008246674,-0.0073303776,6.108648E-4,,
1787220488165,Accelerometer,0.21535404,-0.11964113,10.018748,,
1787220488173,Gyroscope,3.054324E-4,0.008552107,-0.0012217296,,
1787220488174,Accelerometer,0.1268196,-0.2009971,9.882358,,
1787220488181,Gyroscope,0.003970621,0.01282816,-6.108648E-4,,
1787220488182,Accelerometer,0.5599205,-0.12921242,9.767502,,
1787220488190,Gyroscope,-0.008857539,0.0067195124,-6.108648E-4,,
1787220488191,Accelerometer,0.32063824,-0.05503492,10.066605,,
1787220488198,Gyroscope,-0.010079269,-0.0061086477,0.0030543238,,
1787220488199,Accelerometer,0.27038896,-0.09810573,10.078569,,
1787220488207,Gyroscope,-0.0058032153,6.108648E-4,-0.0036651888,,
1787220488208,Accelerometer,0.06460621,-0.19621146,9.851251,,
1787220488215,Gyroscope,-0.0021380268,0.0036651888,0.0018325944,,
1787220488216,Accelerometer,0.51445687,-0.12921242,9.789038,,
1787220488224,Gyroscope,-0.011300999,0.0042760535,-0.0042760535,,
1787220488225,Accelerometer,0.33738798,-0.09571291,10.021141,,
1787220488232,Gyroscope,-0.010079269,-0.0036651888,0.0048869182,,
1787220488233,Accelerometer,0.31106696,-0.083748795,10.169497,,
1787220488241,Gyroscope,-0.0021380268,0.0036651888,-0.0042760535,,
1787220488242,Accelerometer,0.03589234,-0.19860429,9.82493,,
1787220488250,Gyroscope,0.0027488915,0.012217295,0.0018325944,,
1787220488250,Accelerometer,0.44745782,-0.15553348,9.817751,,
1787220488258,Gyroscope,-0.00641408,0.0042760535,-0.0042760535,,
1787220488259,Accelerometer,0.38285163,-0.10049855,9.875179,,
1787220488267,Gyroscope,-0.010690134,-0.0067195124,0.0061086477,,
1787220488267,Accelerometer,0.31345975,-0.050249275,10.236495,,
1787220488275,Gyroscope,3.054324E-4,-0.005497783,-0.0048869182,,
1787220488276,Accelerometer,0.062213387,-0.2009971,9.822537,,
1787220488284,Gyroscope,0.0051923506,0.007941242,0.0030543238,,
1787220488284,Accelerometer,0.4019942,-0.17467605,9.9015,,
1787220488292,Gyroscope,0.0015271619,0.0030543238,-0.0061086477,,
1787220488293,Accelerometer,0.45942193,-0.124426775,9.796216,,
1787220488301,Gyroscope,-0.00641408,-0.0012217296,0.005497783,,
1787220488301,Accelerometer,0.34456646,-0.0526421,10.241281,,
1787220488309,Gyroscope,-0.0021380268,-0.0030543238,-0.0042760535,,
1787220488310,Accelerometer,0.043070808,-0.17706887,9.865608,,
1787220488318,Gyroscope,0.0033597562,0.007941242,0.0024434591,,
1787220488318,Accelerometer,0.31345975,-0.19142582,9.882358,,
1787220488326,Gyroscope,0.0027488915,0.0048869182,-0.0061086477,,
1787220488327,Accelerometer,0.49052864,-0.13878371,9.777073,,
1787220488335,Gyroscope,-0.004581486,0.0018325944,0.0048869182,,
1787220488335,Accelerometer,0.29910284,-0.03589234,10.229317,,
1787220488343,Gyroscope,0.0027488915,6.108648E-4,-0.0048869182,,
1787220488344,Accelerometer,0.069391854,-0.17706887,9.882358,,
