segment,avg_latitude,avg_longitude,avg_rmsa
1,50.06087383,28.12547723,0.8265319595209358
4,50.0607546,28.1254646,2.0636048595041188
8,50.06063309,28.12545552,2.650428262945191
11,50.06051376,28.12544118,0.17718929098665817
15,50.06038974,28.12543212,0.2877791028823557
18,50.06026421,28.12542184,0.2611069150012223
22,50.06013312,28.12541214,0.2817052128039665
67,50.0584045,28.12527892,0.1298771859157753
70,50.05826377,28.12526383,0.10558039982331342
74,50.05811834,28.12525365,0.2580793502734509
77,50.05796969,28.12524431,0.28594194118579924
81,50.05782132,28.12523379,0.2379779098822463
84,50.05766956,28.12522335,0.09772522457063657
88,50.05751662,28.12520803,0.08013544411994063
91,50.05736226,28.1251983,0.2255261919491805
95,50.05720553,28.12518745,0.2718722836176711
98,50.05704397,28.12517553,0.2439937707611279
102,50.05688607,28.12515772,0.17141627567333945
105,50.05672598,28.12514385,0.3247227044650829
109,50.05656395,28.12512989,0.28165567349687193
112,50.05639933,28.12511667,0.22483462974940288
116,50.05623338,28.1251013,0.20554776533638897
119,50.05606822,28.12508794,0.656145330970685
123,50.05589997,28.12507711,0.09784164893936315
126,50.05572957,28.12506684,0.054796939120517286
130,50.05555656,28.12504972,0.3416575610722171
133,50.05538442,28.12503795,0.1189942346635013
137,50.05520779,28.12502198,0.11364016229250117
140,50.05502548,28.12500944,0.153012442471704
144,50.05484451,28.12499907,0.13564138436006584
147,50.05466194,28.12499003,0.058670844728858425
151,50.05448878,28.12497016,0.12021756590344106
154,50.05431027,28.12495791,0.5492281964096452
157,50.05413905,28.12494211,0.33728728541809555
161,50.05397584,28.12492224,0.33062964873199724
164,50.05382189,28.1249052,0.2871805889297202
168,50.05367155,28.12488794,0.09440027877666089
171,50.05352904,28.12486798,0.23324805152244468
175,50.05339312,28.12484249,0.49715384556332587
178,50.0532735,28.12480487,0.3301770894794236
182,50.05316581,28.12473949,0.18338420718665224
185,50.05307006,28.12465332,0.40107740296064687
189,50.05298257,28.12456197,0.7397951477557737
192,50.05290827,28.12446365,0.4097600977243677
196,50.05284431,28.12435899,0.36796228299718137
199,50.05279285,28.12425514,0.37835857881276264
203,50.05275746,28.1241497,0.5088401152345049
206,50.05273786,28.12404784,0.37337622909339435
210,50.0527226,28.12395163,0.2038310957955736
213,50.05270977,28.1238602,0.07548458427302791
217,50.0527003,28.12376356,0.09440032265688517
220,50.05268869,28.12366565,0.07912667078863102
224,50.05267562,28.12356724,0.17430408897462749
227,50.05266603,28.12347548,0.3850120348310291
231,50.0526561,28.12339011,0.13069760831667626
234,50.05264642,28.12331202,0.17658968703964234
238,50.05263443,28.1232395,0.1580527971658025
241,50.05262855,28.12316552,0.033518955995362205
245,50.05261821,28.12309546,0.4887585584378181
248,50.05261189,28.12300872,0.7237992570877637
252,50.05260774,28.12290674,0.4077305915821478
255,50.05260054,28.12279199,0.5406485127775815
259,50.05259026,28.12266766,0.527282558582452
262,50.05258254,28.12253109,0.537958694468395
266,50.05257898,28.12238602,0.4848884571355846
269,50.05257564,28.12222908,0.3197037106351586
